Village_Name,VILLAGE_ID,當選人,當選人所屬黨派,次高票者,次高票所屬政黨,當選人得票數,次高票得票數,有效票的SUM,投票數,選舉人數,投票率
文山區順興里,6300800-029,賴士葆,中國國民黨,李慶元,無,467,406,4284,4374,6204,71.4
文山區萬芳里,6300800-033,賴士葆,中國國民黨,李慶元,無,468,253,4342,4431,6544,67.65
文山區萬和里,6300800-011,賴士葆,中國國民黨,李慶元,無,547,308,1905,1947,2787,69.89
文山區萬隆里,6300800-009,賴士葆,中國國民黨,李慶元,無,400,272,4086,4180,6000,70.35
文山區萬美里,6300800-039,賴士葆,中國國民黨,李慶元,無,500,288,3894,3987,6091,65.05
文山區萬年里,6300800-010,賴士葆,中國國民黨,李慶元,無,404,232,3136,3200,4683,67.73
文山區萬盛里,6300800-012,賴士葆,中國國民黨,李慶元,無,426,317,2752,2809,4119,68.9
文山區萬祥里,6300800-008,賴士葆,中國國民黨,李慶元,無,427,295,2633,2695,3866,69.35
文山區萬興里,6300800-035,賴士葆,中國國民黨,李慶元,無,392,412,4626,4710,6790,68.75
文山區萬有里,6300800-007,賴士葆,中國國民黨,李慶元,無,535,348,3091,3145,4521,68.84
文山區興安里,6300800-018,賴士葆,中國國民黨,李慶元,無,503,245,3690,3767,5431,69.835
文山區興邦里,6300800-042,賴士葆,中國國民黨,李慶元,無,478,292,2745,2801,4046,69.22
文山區興昌里,6300800-022,賴士葆,中國國民黨,李慶元,無,550,250,3669,3748,5629,66.62
文山區興得里,6300800-016,賴士葆,中國國民黨,李慶元,無,367,226,3401,3472,5049,68.65
文山區興豐里,6300800-013,賴士葆,中國國民黨,李慶元,無,461,365,2837,2903,4073,71.99
文山區興福里,6300800-019,賴士葆,中國國民黨,李慶元,無,382,324,3219,3284,4776,68.505
文山區興光里,6300800-014,賴士葆,中國國民黨,李慶元,無,418,333,1903,1938,2934,65.96
文山區興家里,6300800-015,賴士葆,中國國民黨,李慶元,無,513,297,4291,4366,6304,69.41
文山區興泰里,6300800-021,賴士葆,中國國民黨,李慶元,無,426,287,2298,2355,3382,70.5
文山區興旺里,6300800-020,賴士葆,中國國民黨,李慶元,無,485,304,4498,4595,6907,67.24
文山區興業里,6300800-017,賴士葆,中國國民黨,李慶元,無,469,254,3112,3161,4633,68.425
文山區樟腳里,6300800-032,賴士葆,中國國民黨,李慶元,無,473,453,3179,3260,4597,70.66
文山區樟林里,6300800-030,賴士葆,中國國民黨,李慶元,無,426,392,4740,4826,7056,69.32
文山區樟樹里,6300800-043,賴士葆,中國國民黨,李慶元,無,382,355,2731,2795,4042,69.06
文山區樟文里,6300800-041,賴士葆,中國國民黨,李慶元,無,380,343,3478,3541,5111,69.84
文山區樟新里,6300800-031,賴士葆,中國國民黨,李慶元,無,413,244,3067,3120,4527,68.88
文山區政大里,6300800-040,賴士葆,中國國民黨,李慶元,無,369,352,3797,3857,5633,69.375
文山區指南里,6300800-036,賴士葆,中國國民黨,李慶元,無,378,307,2114,2152,3173,67.57
文山區忠順里,6300800-038,賴士葆,中國國民黨,李慶元,無,407,233,2330,2375,3418,69.48
